Metric,Correlation Coefficient,P-Value
SSIM,0.8822113202571124,8.548604200592384e-60
PSNR,0.8326187232677305,2.727519600990145e-47
FSIM,0.8596492087986861,1.6418280666395745e-53
VIF,0.8642315384630609,1.0760456776279758e-54
LPIPS,-0.8863192001977482,4.460094856027874e-61
AES,0.31211133212754394,2.748241854305478e-06
TG,0.30980913782786235,3.281066763041214e-06
NGS,0.05136805518096557,0.45155482492568977
GE,-0.056141046558601124,0.4105751346101658
IE,-0.0710817051175736,0.29724003201291505
